Wbox_SKU,Reference,Description,Value,KiCad Footprint,Datasheet,Package,MF_Name,MF_PN,S1_Name,S1_PN,Qty,Verified_FP
26,U, IC OPAMP JFET 3MHZ DIP8 ,TL081CP,,http://www.ti.com/lit/ds/symlink/tl081a.pdf,DIP8,TI, TL081CP ,Digikey, 296-7203-5-ND ,10,No
27,J, CONN HEADER PH SIDE 2POS 2MM SMD ,S2B-PH,,http://www.jst-mfg.com/product/pdf/eng/ePH.pdf,2PH,JST, S2B-PH-SM4-TB(LF)(SN) ,Digikey, 455-1749-1-ND ,10,No
28,J, CONN PWR JACK 2.5X5.5MM HIGH CUR ,PJ-202BH,,http://www.cui.com/product/resource/digikeypdf/pj-202bh.pdf,PJ-202BH,CUI, PJ-202BH ,Digikey, PJ-202BH ,1,No
29,J, CONN JACK STEREO R/A 3PIN 3.5MM , SJ1-3523N ,,http://www.cui.com/product/resource/digikeypdf/sj1-352xn_series.pdf,SJ1-3523N,CUI, SJ1-3523N ,Digikey, CP1-3523N-ND ,4,No
30,J," USB - A USB 2.0 Plug Connector 4 Position Surface Mount, Right Angle, Horizontal ",USB-A,,http://www.keyelco.com/product-pdf.cfm?p=2859,USB-A-RA-931,Keystone,931,Digikey, 36-931-ND ,7,No
31,J, CONN SD CARD PUSH-PULL R/A SMD ,SD,,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2041021&DocType=Customer+Drawing&DocLang=English,SD-2041021-4 ,TE Conn, 2041021-4 ,Digikey, A101492CT-ND ,2,No
32,X,16MHz ±30ppm Crystal 18pF 40 Ohm 4SMD NOLEAD,CTS406-16MHz,,http://www.ctscorp.com/wp-content/uploads/2015/11/008-0260-0.pdf,CTS-4SMD,CTS, 406I35D16M00000 ,Digikey, CTX1206CT-ND ,4,No
33,X,20MHz ±30ppm Crystal 18pF 40 Ohm 4SMD NOLEAD,CTS406-20MHz,,http://www.ctscorp.com/wp-content/uploads/2015/11/008-0260-0.pdf,CTS-4SMD,CTS, 406I35D20M00000 ,Digikey, CTX1207CT-ND ,5,No
34,X,25MHz ±30ppm Crystal 18pF 40 Ohm 4SMD NOLEAD,CTS406-25MHz,,http://www.ctscorp.com/wp-content/uploads/2015/11/008-0260-0.pdf,CTS-4SMD,CTS,406C35D25M00000 ,Digikey, CTX859CT-ND ,10,No
35,X,25MHz OSC XO HCMOS TTL 4SMD ,CB3-3C-25MHz,,http://www.ctscorp.com/wp-content/uploads/2015/11/008-0256-0.pdf,CTS-4SMD,CTS, CB3-3C-25M0000 ,Digikey, CTX276CT-ND ,9,No
36,X,8MHz ±20ppm Crystal 18pF 140 Ohm 2SMD NOLEAD,ABM3-8MHz,,http://www.abracon.com/Resonators/abm3.pdf,ABM-2SMD,Abracon, ABM3-8.000MHZ-D2Y-T ,Digikey, 535-10630-1-ND ,3,No
